Date,Open,High,Low,Close,Adj_Close,Volume,Day
2014-01-29,162.75,163.570007,162.070007,162.380005,136.842773,1346400,88
2014-01-30,163.889999,164.720001,163.330002,164.199997,138.376617,2086700,89
2014-01-31,162.149994,164.25,162.100006,163.179993,137.516983,1322100,90
2014-02-03,163.020004,163.410004,159.259995,159.610001,134.508469,2969400,91
2014-02-04,160.289993,161.080002,159.729996,160.690002,135.418579,1116700,92
2014-02-05,160.100006,160.820007,159.179993,160.419998,135.19104,1701400,93
2014-02-06,160.910004,162.589996,160.880005,162.570007,137.002899,1109600,94
2014-02-07,163.369995,164.779999,162.850006,164.669998,138.772644,1258200,95
2014-02-10,164.639999,164.960007,164.199997,164.929993,138.991776,937400,96
2014-02-11,165.119995,167.130005,164.970001,166.75,140.525558,1497400,97
2014-02-12,166.990005,167.5,166.479996,166.899994,140.651932,1855000,98
2014-02-13,165.699997,167.839996,165.699997,167.720001,141.342987,1336600,99
2014-02-14,167.559998,168.910004,167.369995,168.610001,142.093033,917200,100
2014-02-18,168.740005,169.039993,168.270004,168.860001,142.303711,1174300,101
2014-02-19,168.419998,169.479996,167.570007,167.699997,141.326141,1928100,102
2014-02-20,167.929993,169.070007,167.330002,168.649994,142.126755,1080000,103
2014-02-21,169.020004,169.410004,168.419998,168.570007,142.059311,706200,104
2014-02-24,168.869995,170.570007,168.779999,169.369995,142.733475,978600,105
2014-02-25,169.580002,170.029999,168.839996,169.309998,142.682907,1001000,106
2014-02-26,169.589996,170.039993,168.910004,169.309998,142.682907,709000,107
2014-02-27,169.149994,170.270004,168.970001,170.25,143.475082,1034200,108
2014-02-28,170.220001,171.470001,169.570007,170.630005,143.795349,853900,109
2014-03-03,169.190002,169.889999,168.380005,169.460007,142.809341,2235900,110
2014-03-04,171.169998,172.229996,171.130005,171.880005,144.848709,1281500,111
2014-03-05,172,172.309998,171.789993,171.910004,144.874008,983100,112
2014-03-06,172.539993,172.839996,172.190002,172.460007,145.33757,1037000,113
2014-03-07,173.080002,173.130005,171.789993,172.419998,145.303864,1205600,114
2014-03-10,172.240005,172.479996,171.470001,172.449997,145.329132,885300,115
2014-03-11,172.729996,172.919998,171.169998,171.5,144.52858,945700,116
2014-03-12,170.75,171.649994,170.360001,171.619995,144.629669,1065000,117
2014-03-13,172.139999,172.240005,169.210007,169.720001,143.028442,1659400,118
2014-03-14,169.350006,170.220001,169,169.229996,142.615524,1323500,119
2014-03-17,170.059998,171.139999,169.990005,170.75,143.896408,1695400,120
2014-03-18,171.070007,172.179993,170.929993,171.960007,144.916168,779700,121
2014-03-19,172.029999,172.229996,169.990005,171.020004,144.123993,1166300,122
2014-03-20,170.679993,172.160004,170.369995,171.990005,144.941498,818200,123
2014-03-21,172.809998,173.190002,171.240005,171.419998,144.461075,825200,124
2014-03-24,171.190002,171.389999,169.160004,169.919998,143.850677,2004900,125
2014-03-25,170.779999,171.25,169.779999,170.75,144.553345,1202100,126
2014-03-26,171.389999,171.639999,169.449997,169.490005,143.486649,1155600,127
2014-03-27,169.320007,169.779999,168.479996,169.149994,143.198837,980700,128
2014-03-28,169.630005,170.789993,169.5,169.899994,143.833786,548900,129
2014-03-31,171.039993,171.589996,170.869995,171.350006,145.06134,822000,130
2014-04-01,171.869995,172.589996,171.759995,172.5,146.034882,1247500,131
2014-04-02,172.720001,173.289993,172.399994,173.089996,146.534378,1972800,132
2014-04-03,173.330002,173.369995,172.320007,172.820007,146.305756,718300,133
2014-04-04,173.770004,173.820007,170.529999,170.740005,144.544922,2270800,134
2014-04-07,170.360001,170.649994,168.570007,168.899994,142.987167,1645000,135
2014-04-08,168.789993,169.880005,168.220001,169.600006,143.579834,2064000,136
2014-04-09,170.080002,171.460007,169.610001,171.429993,145.129013,768800,137
2014-04-10,171.419998,171.490005,167.619995,167.770004,142.030563,1286900,138
2014-04-11,166.919998,168.050003,166.110001,166.259995,140.752213,1762400,139
2014-04-14,167.580002,168,166.259995,167.600006,141.886658,1456600,140
2014-04-15,167.979996,168.869995,166.330002,168.759995,142.868668,2160100,141
2014-04-16,169.919998,170.550003,169.190002,170.539993,144.375595,2410000,142
